data,Produção de derivados de petróleo,Consumo de derivados de petróleo - gasolina,Consumo de derivados de petróleo - Óleo combustível,Selic,Cambio - IPCA,IPCA,Producao Industrial,Balança comercial,IBC-Br,Close_PETR4.SA,Volume_PETR4.SA,Close_IBOV,BETA,regime
2004-01-01,1457.0,287.0,91.0,1.27,130.93,0.76,89.5,1507.1,72.33564,1.8417243957519531,987574400,21851.0,0.766782410740415,0.0
2004-02-01,1452.0,283.0,90.0,1.08,137.73,0.61,86.3,1897.7,73.04534,1.9290002584457397,812371200,21755.0,0.4776349982367667,0.0
2004-03-01,1480.0,294.0,100.0,1.38,135.51,0.47,101.3,2462.5,73.85742,2.0113344192504883,768102400,22142.0,0.4521859898464161,0.0
2004-04-01,1449.0,311.0,96.0,1.18,135.1,0.37,95.8,1841.5,74.27324,1.7572720050811768,777699200,19607.0,0.7170277379111915,0.0
2004-05-01,1421.0,278.0,84.0,1.23,142.57,0.51,100.6,2995.7,74.19837,1.688581109046936,971433600,19545.0,0.743726287222426,0.0
2004-06-01,1482.0,289.0,93.0,1.23,144.1,0.71,100.4,3668.0,74.80417,1.8186697959899902,835177600,21149.0,0.7362903119851224,0.0
2004-07-01,1513.0,301.0,96.0,1.29,139.4,0.91,105.0,3321.6,75.11035,1.8372552394866943,751305600,22337.0,0.7273415380205444,0.0
2004-08-01,1502.0,295.0,92.0,1.29,136.65,0.69,107.4,3317.9,75.46369,1.9290002584457397,819971200,22803.0,0.7248000214788962,0.0
2004-09-01,1523.0,316.0,95.0,1.25,131.58,0.33,107.4,3044.2,76.25203,2.2075295448303223,625955200,23245.0,0.7067274511539836,0.0
2004-10-01,1501.0,296.0,89.0,1.21,130.98,0.44,108.9,2879.3,75.83837,2.198354721069336,791564800,23052.0,0.8636270125322678,0.0
2004-11-01,1452.0,295.0,96.0,1.25,129.05,0.69,107.0,1959.7,76.53589,2.1854164600372314,634726400,25128.0,0.8424625415657594,0.0
2004-12-01,1494.0,338.0,95.0,1.48,126.88,0.86,98.7,3388.5,75.94565,2.2853944301605225,741612800,26196.0,0.7212600034590624,0.0
2005-01-01,1498.0,281.0,90.0,1.38,124.02,0.58,94.4,2132.4,76.46183,2.194826126098633,640857600,24351.0,0.7408178839317037,0.0
2005-02-01,1493.0,304.0,87.0,1.22,120.05,0.59,89.0,2709.5,76.9322,2.616381883621216,878358400,28139.0,0.9202265944703621,0.0
2005-03-01,1538.0,314.0,91.0,1.53,125.3,0.61,102.6,3259.8,76.99931,2.4265408515930176,853222400,26611.0,0.954580687803977,0.0
2005-04-01,1676.0,302.0,87.0,1.41,118.26,0.87,101.4,3811.4,77.52723,2.223055601119995,622636800,24844.0,0.9425786476708081,0.0
2005-05-01,1689.0,299.0,86.0,1.5,111.64,0.49,106.2,3363.0,77.46743,2.365377902984619,547036800,25207.0,0.9141264553467093,0.0
2005-06-01,1698.0,308.0,97.0,1.59,108.35,-0.02,106.5,3909.8,77.04271,2.524167537689209,821804800,25051.0,0.8957061162403611,0.0
2005-07-01,1680.0,295.0,91.0,1.51,106.38,0.25,105.5,4914.3,77.01266,2.5636887550354004,748630400,26042.0,0.9266394021337351,0.0
2005-08-01,1626.0,312.0,97.0,1.66,106.82,0.17,111.4,3536.8,77.5909,3.11641263961792,900995200,28045.0,1.071954777126533,0.0
2005-09-01,1667.0,312.0,96.0,1.5,104.03,0.35,107.2,4235.9,77.38753,3.4184653759002686,319633400,31584.0,0.9857321361394843,0.0
2005-10-01,1671.0,285.0,83.0,1.41,100.88,0.75,109.2,3568.0,77.53218,3.088604688644409,230537600,30194.0,1.0523238332774607,0.0
2005-11-01,1674.0,302.0,89.0,1.38,97.21,0.55,107.7,3962.1,78.05588,3.28421950340271,195878600,31917.0,1.1689625753465156,0.0
2005-12-01,1685.0,339.0,87.0,1.47,100.9,0.36,100.9,4318.5,78.64369,3.5680527687072754,155316800,33456.0,1.1813686758796458,0.0
2006-01-01,1688.0,293.0,78.0,1.43,100.68,0.59,97.5,2758.4,79.27759,4.50681209564209,225760000,38383.0,1.3534744183693892,0.0
2006-02-01,1692.0,316.0,84.0,1.15,95.44,0.41,93.5,2711.6,79.35434,4.348721981048584,260511600,38610.0,1.4547373849598202,0.0
2006-03-01,1696.0,331.0,83.0,1.42,95.29,0.43,107.7,3582.9,79.20208,4.1950764656066895,288663600,37952.0,1.4726401103743216,0.0
2006-04-01,1737.0,327.0,86.0,1.08,95.14,0.21,99.8,2957.3,79.71296,4.495560169219971,201734800,40363.0,1.4846742446731749,0.0
2006-05-01,1748.0,326.0,84.0,1.28,99.31,0.1,111.1,2884.7,80.71398,4.239810466766357,9484284392,36530.0,1.2971059385314534,0.0
2006-06-01,1630.0,324.0,91.0,1.18,102.35,-0.21,106.2,3959.6,79.87083,4.181461811065674,11514412912,36631.0,1.3643344107371442,0.0
2006-07-01,1725.0,313.0,91.0,1.17,100.12,0.19,109.3,5518.8,81.31761,4.385674476623535,7473456432,37077.0,1.3582561151632868,0.0
2006-08-01,1703.0,335.0,95.0,1.26,99.2,0.05,114.9,4504.4,81.3094,4.191188812255859,10319611664,36232.0,1.2710912989851404,0.0
2006-09-01,1733.0,344.0,94.0,1.06,99.14,0.21,108.7,4326.5,81.49696,3.944190502166748,2536640240,36449.0,1.4543413460988632,0.0
2006-10-01,1762.0,328.0,94.0,1.09,97.72,0.33,113.6,3835.0,82.42684,4.1921610832214355,318505000,39263.0,1.3463972306183383,0.0
2006-11-01,1766.0,325.0,96.0,1.02,98.62,0.31,111.7,3187.7,82.97032,4.454718589782715,281053000,41932.0,1.3274357258968106,0.0
2006-12-01,1787.0,351.0,85.0,0.99,99.29,0.48,101.3,4951.0,84.01023,4.957896709442139,250278800,44474.0,1.3434196828420417,0.0
2007-01-01,1736.0,309.0,91.0,1.08,97.85,0.44,101.4,2443.8,83.73005,4.666197776794434,382504600,44642.0,1.0169809561739551,0.0
2007-02-01,1758.0,319.0,90.0,0.87,95.85,0.44,96.2,2780.3,83.96051,4.307894706726074,330838200,43892.0,1.0635866338395594,0.0
2007-03-01,1769.0,325.0,94.0,1.05,96.14,0.37,112.4,3278.5,83.38916,4.643445014953613,432834200,45805.0,1.099094487534325,0.0
2007-04-01,1739.0,319.0,86.0,0.94,94.59,0.25,105.6,4062.1,84.48953,4.540971279144287,357889800,48956.0,0.9135499018237063,0.0
2007-05-01,1726.0,319.0,87.0,1.03,92.5,0.28,116.4,3738.8,85.27111,4.667966365814209,414119600,52268.0,1.2227780554656182,0.0
2007-06-01,1784.0,324.0,96.0,0.91,90.12,0.28,112.9,3665.1,85.90501,5.227919578552246,384008400,54392.0,1.2920370077927679,0.0
2007-07-01,1774.0,303.0,98.0,0.97,88.84,0.24,116.3,3220.3,86.40645,5.340317249298096,333874600,54183.0,1.2486752438907789,0.0
2007-08-01,1758.0,315.0,101.0,0.99,92.25,0.47,122.3,3415.9,86.58511,5.285637855529785,494037200,54637.0,1.274532239376411,0.0
2007-09-01,1726.0,302.0,101.0,0.8,89.92,0.18,114.6,3306.4,87.2756,6.167093753814697,354315800,60465.0,1.3868016181919158,0.0
2007-10-01,1687.0,323.0,106.0,0.93,86.17,0.3,125.7,3240.7,88.12235,7.175323486328125,549602000,65318.0,1.5987879762250468,0.0
2007-11-01,1711.0,317.0,102.0,0.84,86.19,0.38,119.3,1854.0,88.06762,7.506516456604004,596953200,63006.0,1.217802891127205,0.0
2007-12-01,1806.0,346.0,88.0,0.84,86.66,0.74,107.9,3492.3,88.87405,9.127595901489258,408851400,63886.0,1.003415293996917,0.0
2008-01-01,1776.0,310.0,96.0,0.93,86.19,0.54,110.5,823.1,88.99962,8.301563262939453,518117800,59490.0,1.0861007480669438,0.0
2008-02-01,1772.0,313.0,91.0,0.8,85.36,0.49,106.1,710.7,88.74919,8.442131996154785,387395800,63489.0,0.8436471531105955,0.0
2008-03-01,1750.0,309.0,90.0,0.84,86.32,0.48,113.9,853.3,88.16362,7.668915748596191,407649200,60968.0,1.0192895143435012,0.0
2008-04-01,1797.0,324.0,90.0,0.9,85.97,0.55,115.6,1597.6,89.31713,8.747894287109375,550723000,67868.0,1.1435278233849802,0.0
2008-05-01,1815.0,311.0,85.0,0.88,84.12,0.79,119.4,3947.0,90.24313,10.18395709991455,467235100,72593.0,1.2774475997599795,0.0
2008-06-01,1830.0,314.0,92.0,0.96,82.11,0.74,120.3,2574.7,91.18203,9.604094505310059,458421300,65018.0,1.1707894383992523,0.0
2008-07-01,1825.0,327.0,92.0,1.07,81.06,0.53,126.4,3205.0,91.07959,7.461309432983398,457014700,59505.0,1.4057209523318914,1.0
2008-08-01,1841.0,319.0,91.0,1.02,80.55,0.28,124.6,2190.8,91.28902,7.253470420837402,378173300,55680.0,1.3682843487810126,1.0
2008-09-01,1857.0,344.0,91.0,1.1,87.61,0.26,125.1,2604.0,91.21187,7.295038223266602,612502200,49541.0,1.2034457554972862,1.0
2008-10-01,1833.0,341.0,90.0,1.18,100.24,0.45,126.3,1259.4,89.4201,4.844654083251953,901994800,37257.0,1.319166287976512,1.0
2008-11-01,1807.0,316.0,82.0,1.02,100.66,0.36,112.1,1480.8,87.22778,4.169187545776367,620972400,36596.0,1.2860901826898739,1.0
2008-12-01,1842.0,365.0,78.0,1.12,107.19,0.28,92.2,2260.4,84.82351,4.746970176696777,591629900,37550.0,1.2508301254153165,1.0
2009-01-01,1889.0,310.0,71.0,1.05,101.33,0.48,91.7,-541.7,84.67865,5.202131271362305,483877900,39301.0,1.2677134939368846,1.0
2009-02-01,1908.0,323.0,83.0,0.86,99.54,0.55,88.6,1724.2,85.36264,5.486866474151611,447140200,38183.0,1.3540551895028472,1.0
2009-03-01,1943.0,315.0,88.0,0.97,97.4,0.2,103.2,1727.7,85.82778,5.933714866638184,588534600,40926.0,1.309658140439613,1.0
2009-04-01,1941.0,328.0,94.0,0.84,95.38,0.48,99.3,3672.0,86.18962,6.1394734382629395,433142300,47290.0,1.0699310325518654,1.0
2009-05-01,1955.0,300.0,79.0,0.77,89.91,0.47,106.4,2551.3,87.04562,7.245201110839844,437173700,53198.0,1.0575017682897743,1.0
2009-06-01,1918.0,318.0,84.0,0.76,87.38,0.36,107.4,4654.8,87.6595,6.824580192565918,391230900,51465.0,1.0950398499383294,1.0
2009-07-01,1919.0,324.0,90.0,0.79,86.38,0.24,113.9,2864.4,87.78972,6.6184773445129395,369922600,54766.0,0.9642316980659961,1.0
2009-08-01,1960.0,308.0,89.0,0.69,82.86,0.15,116.1,3000.7,89.22088,6.664015293121338,370149400,56489.0,0.978009484171071,1.0
2009-09-01,1993.0,330.0,94.0,0.69,82.13,0.24,115.9,1232.8,89.92529,7.432781219482422,349849300,61518.0,1.1293698166060255,1.0
2009-10-01,1990.0,349.0,90.0,0.69,79.15,0.28,123.1,1297.8,90.65055,7.441274642944336,351617100,61546.0,0.8072651345032713,1.0
2009-11-01,1986.0,336.0,88.0,0.66,79.27,0.41,118.1,490.0,90.75085,8.28712272644043,332602300,67044.0,0.5938092198710099,0.0
2009-12-01,1999.0,399.0,84.0,0.73,79.87,0.37,109.6,2116.2,92.09786,7.836456775665283,288716800,68588.0,0.741086309033638,0.0
2010-01-01,1997.0,373.0,81.0,0.66,79.59,0.75,106.3,-324.4,93.48326,7.338343143463135,346199500,65402.0,0.8090625008068034,0.0
2010-02-01,2017.0,429.0,85.0,0.59,81.53,0.78,103.7,259.8,94.38038,7.432835102081299,334803100,66503.0,0.960834243208204,0.0
2010-03-01,2037.0,432.0,91.0,0.76,78.75,0.52,122.4,545.3,95.30077,7.600351333618164,469956500,70372.0,0.9387775965144652,0.0
2010-04-01,2077.0,405.0,90.0,0.67,77.18,0.57,115.7,1139.1,95.75688,7.044118881225586,404295800,67530.0,1.2981038363013058,0.0
2010-05-01,2075.0,356.0,87.0,0.75,77.66,0.43,121.5,3288.4,95.04524,6.404802322387695,464140500,63047.0,1.087511945432074,0.0
2010-06-01,2051.0,365.0,93.0,0.79,76.4,0.0,119.4,2104.2,94.86876,5.8543782234191895,359108800,60936.0,1.1290541359237203,0.0
2010-07-01,2056.0,369.0,90.0,0.86,76.44,0.01,124.6,1208.2,95.38412,6.070159912109375,248303000,67515.0,1.0836322942017682,0.0
2010-08-01,2078.0,368.0,97.0,0.89,76.82,0.04,126.0,2265.4,95.97597,5.680012226104736,371885300,65145.0,1.0851097816242652,0.0
2010-09-01,1998.0,388.0,92.0,0.85,75.57,0.45,123.3,935.9,96.86015,5.991126537322998,769337900,69430.0,1.0057212685532664,0.0
2010-10-01,1998.0,378.0,74.0,0.81,75.18,0.75,125.5,1681.2,96.70628,5.674994468688965,718363000,70673.0,1.0097728439874514,0.0
2010-11-01,2089.0,397.0,67.0,0.81,75.74,0.83,124.4,122.7,97.77698,5.398380756378174,477485500,67705.0,0.8212704318780879,0.0
2010-12-01,2180.0,450.0,66.0,0.93,73.74,0.63,112.5,5132.1,96.75047,6.022956848144531,403971200,69305.0,0.9314031124018426,0.0
2011-01-01,2122.0,384.0,65.0,0.86,73.19,0.83,108.6,184.6,97.96584,6.025580883026123,464932900,66575.0,0.8563587524379088,0.0
2011-02-01,2062.0,427.0,65.0,0.84,74.67,0.8,111.2,986.3,98.3427,6.357001304626465,444512747,67383.0,0.8681477268454709,0.0
2011-03-01,2082.0,471.0,63.0,0.92,74.77,0.79,121.6,1361.5,98.36478,6.310291767120361,361571500,68587.0,0.892320609823784,0.0
2011-04-01,2052.0,496.0,63.0,0.84,72.21,0.77,113.6,1633.5,98.40057,5.729487419128418,348308700,66133.0,0.9165548824922675,0.0
2011-05-01,2072.0,433.0,61.0,0.99,73.42,0.47,124.8,3318.5,98.56456,5.418468475341797,276981700,64620.0,0.8927931688892272,0.0
2011-06-01,2137.0,436.0,63.0,0.96,72.38,0.15,119.8,4263.7,98.98991,5.381977081298828,366707200,62404.0,0.7737525639888182,0.0
2011-07-01,2077.0,433.0,61.0,0.97,71.76,0.16,123.6,2968.3,99.09567,5.332059860229492,305126000,58823.0,0.949385025915278,0.0
2011-08-01,2052.0,460.0,65.0,1.07,73.43,0.37,129.1,3710.3,98.99352,4.7194390296936035,222523400,56495.0,1.0446842215883057,0.0
2011-09-01,2099.0,482.0,65.0,0.94,78.12,0.53,122.1,2899.3,98.83976,4.372286796569824,378071800,52324.0,1.1144885319239732,0.0
2011-10-01,2105.0,489.0,62.0,0.88,78.22,0.43,123.8,2170.1,98.82077,4.939996719360352,390033800,58338.0,1.2017854556690157,0.0
2011-11-01,2188.0,514.0,63.0,0.86,78.06,0.52,121.4,372.2,99.29285,5.047585487365723,399483100,56875.0,1.1759865348259337,0.0
2011-12-01,2214.0,577.0,62.0,0.91,79.39,0.5,111.5,3656.8,98.3337,4.964608669281006,374130700,56754.0,1.050675703805373,0.0
2012-01-01,2231.0,503.0,57.0,0.89,76.75,0.56,103.4,-1558.0,97.11265,5.676149845123291,468665800,63072.0,1.155820347914503,0.0
2012-02-01,2205.0,531.0,54.0,0.75,75.45,0.45,104.7,1513.1,98.04332,5.662283897399902,533715400,65812.0,1.0874939617566473,0.0
2012-03-01,2087.0,537.0,59.0,0.82,79.0,0.21,116.2,1811.3,97.81793,5.438681125640869,427489100,64511.0,1.1023339510194048,0.0
2012-04-01,2022.0,531.0,64.0,0.71,81.1,0.64,108.1,666.9,98.30445,4.984331130981445,364862200,61820.0,1.0954284331648863,0.0
2012-05-01,2048.0,527.0,61.0,0.74,85.53,0.36,119.4,2771.9,99.44136,4.478639125823975,545976200,54490.0,1.025434506684609,0.0
2012-06-01,2033.0,538.0,58.0,0.64,87.0,0.08,114.5,610.1,100.15413,4.316823482513428,550692800,54355.0,1.0348168540765492,0.0
2012-07-01,2023.0,527.0,62.0,0.68,85.92,0.43,121.8,2682.1,100.31877,4.612497329711914,500116300,56097.0,1.120530769874663,0.0
2012-08-01,2004.0,559.0,65.0,0.69,86.89,0.41,130.0,3018.9,100.65595,4.910536289215088,547519500,57061.0,1.0818324411037779,0.0
2012-09-01,1924.0,545.0,59.0,0.54,87.63,0.57,120.5,2362.9,100.19889,5.291361331939697,426575000,59176.0,1.1069321481074568,0.0
2012-10-01,2011.0,579.0,75.0,0.61,87.34,0.59,130.3,1357.6,101.05351,4.919995307922363,433361100,57068.0,1.1522237139744977,0.0
2012-11-01,2045.0,557.0,106.0,0.55,87.99,0.6,122.2,-375.1,100.93241,4.4138054847717285,469471900,57475.0,1.1746308843332256,0.0
2012-12-01,2105.0,612.0,91.0,0.55,88.5,0.79,107.5,2046.8,100.51901,4.617228031158447,502623500,60952.0,1.154038490335858,0.0
2013-01-01,2054.0,541.0,121.0,0.6,86.0,0.86,110.1,-4183.8,101.13597,4.276613235473633,553393000,59761.0,1.0614728197894385,0.0
2013-02-01,2017.0,537.0,102.0,0.49,83.58,0.6,102.6,-1440.6,100.23847,3.928900957107544,567423900,57424.0,1.155596387785525,0.0
2013-03-01,1853.0,545.0,93.0,0.55,82.97,0.47,113.9,15.4,101.16552,4.357036113739014,612975900,56352.0,1.1043810021302116,0.0
2013-04-01,1923.0,574.0,88.0,0.61,83.3,0.55,118.7,-1161.2,102.25143,4.752053260803223,632249700,55910.0,1.0530688997581965,0.0
2013-05-01,1993.0,533.0,95.0,0.6,84.33,0.37,122.3,593.8,102.46806,4.933403015136719,574950500,53506.0,0.9453805812540071,0.0
2013-06-01,2101.0,516.0,94.0,0.61,90.18,0.26,118.5,2126.9,102.12937,3.976726531982422,677342900,47457.0,1.3955203135416931,0.0
2013-07-01,1974.0,530.0,55.0,0.72,93.45,0.03,125.9,-2072.5,102.46653,4.006239414215088,591915000,48234.0,1.338086901053729,0.0
2013-08-01,2011.0,546.0,55.0,0.71,98.06,0.24,130.6,1025.9,102.77761,4.178391456604004,776574800,50008.0,1.2716500940922983,0.0
